variable,varlabel,N,mean,sd,min,p1,p5,p10,p25,p50,p75,p90,p95,p99,max,skewness,kurtosis
qq205,戒烟年龄（岁）,23665,-4.0443273,14.318551,-8,-8,-8,-8,-8,-8,-8,-8,35,62,86,3.6961617,15.791929
qq301,过去一月每周喝酒超过3次吗,23665,-.069258399,1.2406085,-8,-8,0,0,0,0,0,1,1,1,1,-5.7805977,37.465469
qq401,您是否午休,23665,.4103106,1.3618468,-8,-8,0,0,0,1,1,1,1,1,1,-5.2381096,32.603233
qq402,午休时长（分）,23665,29.885443,40.379883,-8,-8,-8,-8,-8,30,60,90,120,120,240,1.0439388,4.1739802
qq403a,晚上睡觉时间（点）,23665,20.679358,5.7262053,-8,-8,3,20,21,22,23,23,24,24,24,-3.9735205,18.166924
qq403b,晚上睡觉时间（分）,23665,8.3893938,13.764529,-8,-8,0,0,0,0,30,30,30,30,59,1.0072631,2.267117
qq400,是否有工作日及休息日的区分,23665,.13758716,1.3186204,-8,-8,0,0,0,0,1,1,1,1,1,-5.196166,32.66827
qq4001,是否工作日,23665,-7.7954783,1.4709567,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,5,7.3070354,56.26543
qq4010,睡眠时长（小时/天）,23665,6.8312192,3.385323,-8,-8,4,5.5999999,7,7.5,8,9,10,11,24,-3.4453642,15.729021
qq4011,工作日睡眠时长(小时/天),23665,-7.7022986,2.1119747,-8,-8,-8,-8,-8,-8,-8,-8,-8,7,12,6.99333,50.176472
qq4012,休息日睡眠时长(小时/天),23665,-7.6886964,2.2092521,-8,-8,-8,-8,-8,-8,-8,-8,-8,8,14,7.005024,50.425182
qq9010n,干家务时长（小时/天）,23665,-1.3716036,5.039854,-8,-8,-8,-8,-8,.5,2,4,5,8,20,-.27118352,1.8100109
qq9011n,工作日干家务时长(小时/天),23665,-5.0335603,4.4167948,-8,-8,-8,-8,-8,-8,.5,1.5,2,5,17,.91439223,2.1320038
qq9012,休息日干家务时长(小时/天),23665,-4.8742237,4.6616921,-8,-8,-8,-8,-8,-8,.5,2,3,5,15.5,.91822201,2.1120024
qq91,干家务时长（小时/天）,23665,-7.648468,1.8832698,-8,-8,-8,-8,-8,-8,-8,-8,-8,2.5,24,5.5364499,35.340534
qq921,购买日用品（分钟/天）,23665,-5.1959009,13.74417,-8,-8,-8,-8,-8,-8,-8,-8,4,60,300,7.3209291,78.569496
qq922,做饭洗碗（分钟/天）,23665,-4.0922036,20.098858,-8,-8,-8,-8,-8,-8,-8,-8,10,120,300,7.3082557,68.278061
qq923,熨烫整理（分钟/天）,23665,-5.5444326,12.170942,-8,-8,-8,-8,-8,-8,-8,-8,5,60,240,7.5124888,79.986244
qq924,清扫房间（分钟/天）,23665,-5.4561591,12.405417,-8,-8,-8,-8,-8,-8,-8,-8,10,60,300,7.6245427,89.407318
qq925,照顾家人（分钟/天）,23665,-3.4955842,34.014626,-8,-8,-8,-8,-8,-8,-8,-8,0,120,600,12.425519,185.6315
qq926,其他家务（分钟/天）,23665,-5.8335938,13.807926,-8,-8,-8,-8,-8,-8,-8,-8,0,60,480,14.125402,324.45493
qq93,配偶工作日家务时间(分钟/天),23665,-2.4106486,32.030422,-8,-8,-8,-8,-8,-8,-8,-8,15,120,900,10.019546,148.59459
qq94,配偶休息日家务(分钟/天),23665,-1.5309106,34.99707,-8,-8,-8,-8,-8,-8,-8,-8,30,180,900,8.8091869,113.08447
qq95,购买服务积极性,23665,-7.257638,2.7485027,-8,-8,-8,-8,-8,-8,-8,-8,3,4,5,3.486239,13.32605
qq1001,"看电视,电影时长(小时/周)",23665,7.7073989,10.027557,-8,-8,0,0,1,5,12,20,24.5,42,150,3.3028429,27.115486
qq9012n,照顾家人时长（小时/天）,23665,.76164377,3.7982624,-8,-8,-8,-1,0,1,2,4,6,12,24,.16192581,8.824028
qq9013,照顾孩子时长（小时/天）,23665,-4.896615,5.1921563,-8,-8,-8,-8,-8,-8,0,2,4,10,24,1.6344903,5.9153481
qq1002,和家人吃饭次数(晚/周),23665,4.1634059,4.6713266,-8,-8,-8,-1,2,7,7,7,7,7,7,-1.6906351,4.718699
qq1101,是否读书,23665,.17304036,1.3296052,-8,-8,0,0,0,0,1,1,1,1,1,-5.1576791,32.272327
qq1102,总阅读量（本）,23665,-2.8393407,13.567668,-8,-8,-8,-8,-8,-8,2,5,10,30,500,17.090994,513.02197
qq501,能记住主要事情吗,23665,2.8116205,2.0805309,-8,-8,1,1,2,3,4,5,5,5,5,-3.0940685,16.764992
qn406,我感到情绪低落,23665,1.5635749,1.6649324,-8,-8,1,1,1,2,2,3,4,4,4,-4.0968986,24.999828
qn407,我觉得做任何事都很费劲,23665,1.5361081,1.6867293,-8,-8,1,1,1,2,2,3,4,4,4,-3.8616841,23.530155
qn411,我的睡眠不好,23665,1.604775,1.7388015,-8,-8,1,1,1,2,2,3,4,4,4,-3.5742636,21.516939
qn412,我感到愉快,23665,2.7507713,1.8774809,-8,-8,1,2,2,3,4,4,4,4,4,-4.2377715,24.618336
qn414,我感到孤独,23665,1.3222058,1.6241993,-8,-8,1,1,1,1,2,2,3,4,4,-4.0430532,25.105135
qn416,我生活快乐,23665,2.8422987,1.880398,-8,-8,1,2,2,3,4,4,4,4,4,-4.3452778,25.302071
qn418,我感到悲伤难过,23665,1.3514473,1.5977293,-8,-8,1,1,1,1,2,2,3,4,4,-4.3606801,27.02383
qn420,我觉得生活无法继续,23665,1.046947,1.5123847,-8,-8,1,1,1,1,1,2,2,4,4,-4.6252375,29.593132
cesd20sc,CESD20SC构建分数,23665,32.27919,10.44503,-8,-8,22,22,26,32,38,44,48,58,72,-.89777714,7.4947195
cesd8,CESD8分数,23665,13.074244,5.3439922,-8,-8,8,8,10,13,16,19,21,26,32,-1.0480525,7.8647275
qn2,与父母争吵次数（次/月）,23665,-7.2289033,2.7308326,-8,-8,-8,-8,-8,-8,-8,-8,0,3,50,4.833014,44.217018
qn201,与父母谈心次数（次/月）,23665,-7.0616946,3.5096815,-8,-8,-8,-8,-8,-8,-8,-8,1,6,50,5.3754115,45.518639
qn3,过去一月父母争吵次数(次/月),23665,-7.2916121,2.4606657,-8,-8,-8,-8,-8,-8,-8,-8,0,2,30,3.8728404,23.554228
whichwordlist,受访者回答的题组：词组,23665,-7.566237,2.2885051,-8,-8,-8,-8,-8,-8,-8,-8,-8,6,8,5.2600617,29.603504
whichmathlist,受访者回答的题组：数学,23665,-7.6248469,1.9570847,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,4,5.0784144,27.073975
wordtest22_sc2,22年词组测试题得分：22年问卷算法,23665,-7.1688991,4.8613548,-8,-8,-8,-8,-8,-8,-8,-8,-8,24,34,6.3265648,43.399551
wordtest22,22年词组测试题得分：与10年可比算法,23665,-7.1660256,4.8711624,-8,-8,-8,-8,-8,-8,-8,-8,-8,24,34,6.3104033,43.174847
mathtest22_sc2,22年数学测试题得分：22年问卷算法,23665,-7.4715405,2.968401,-8,-8,-8,-8,-8,-8,-8,-8,-8,9,24,6.1562629,43.39661
mathtest22,22年数学测试题得分：与10年可比算法,23665,-7.4218464,3.26403,-8,-8,-8,-8,-8,-8,-8,-8,-8,12,24,6.1197872,41.8018
qq1011,能否独立户外活动,25851,-3.5346794,4.4557991,-8,-8,-8,-8,-8,0,1,1,1,1,1,-.00020569678,1.0074143
qq1012,能否独立进餐,25851,-3.4969246,4.4896979,-8,-8,-8,-8,-8,0,1,1,1,1,1,-.0049510566,1.001862
qq1013,能否独立厨房活动,25851,-3.5287223,4.4614897,-8,-8,-8,-8,-8,0,1,1,1,1,1,-.00081399304,1.0065062
qq1014,能够独立使用公共交通,25851,-3.581022,4.4138217,-8,-8,-8,-8,-8,0,1,1,1,1,1,.00507086,1.013703
qq1015,能否独立购物,25851,-3.5403659,4.4509473,-8,-8,-8,-8,-8,0,1,1,1,1,1,.00056531798,1.0081611
qq1016,能否独立清洁卫生,25851,-3.5194769,4.4698124,-8,-8,-8,-8,-8,0,1,1,1,1,1,-.001956827,1.0051583
qq1017,能否独立洗衣,25851,-3.5267107,4.4633403,-8,-8,-8,-8,-8,0,1,1,1,1,1,-.0010235399,1.006237
qv01,14岁前健康状况,23665,-6.3759136,3.68153,-8,-8,-8,-8,-8,-8,-8,1,2,3,5,1.8641028,4.588275
qv02,14岁领袖气质,23665,-5.9620113,4.6223178,-8,-8,-8,-8,-8,-8,-8,5,5,5,5,1.8559219,4.503324
qv03,14岁冒险精神,23665,-6.16573,4.1392779,-8,-8,-8,-8,-8,-8,-8,3,3,4,5,1.8238732,4.3535471
qv04,14岁家庭地位,23665,-6.1787448,4.1257691,-8,-8,-8,-8,-8,-8,-8,3,3,5,5,1.8546231,4.5210791
qv101a,父亲出生日期（年）,23665,117.78035,481.81747,-8,-8,-8,-8,-8,-8,-8,-8,1956,1979,1991,3.5755303,13.785574
qv101c,父亲年龄,23665,-6.6916966,9.685462,-8,-8,-8,-8,-8,-8,-8,-8,-8,56,120,7.9803777,69.062691
qv102,您14岁时父亲教育程度,23665,-6.9940839,4.158524,-8,-8,-8,-8,-8,-8,-8,-8,2,4,79,11.163203,211.26753
qv104,您14岁时父亲政治面貌,23665,-6.9973803,3.2762299,-8,-8,-8,-8,-8,-8,-8,-8,4,4,4,2.986165,9.982542
qv201y,您母亲出生日期（年）,23665,122.65075,490.72418,-8,-8,-8,-8,-8,-8,-8,-8,1962,1981,1998,3.4948275,13.214845
qv201b,您母亲的年龄,23665,-6.8279314,9.1619682,-8,-8,-8,-8,-8,-8,-8,-8,-8,53,120,8.4024401,75.949089
qv202,您14岁时母亲教育程度,23665,-7.0193958,4.1006198,-8,-8,-8,-8,-8,-8,-8,-8,2,4,79,11.561907,223.42867
qv204,您14岁时母亲政治面貌,23665,-6.975956,3.3376281,-8,-8,-8,-8,-8,-8,-8,-8,4,4,4,2.9612694,9.7911406
qz101pid_a_1,其他参与回答问卷的家庭成员1,23665,37579784,124038224,-8,-8,78,78,78,78,78,78,410799104,620138112,963610432,3.3557606,13.300041
qz101pid_a_2,其他参与回答问卷的家庭成员2,23665,220376992,226782512,-8,-8,-8,-8,-8,145120656,411172096,530058112,620551104,621598080,5358801408,1.5449687,25.496565
qz102_s_1,家庭成员之外谁在场：选择1,23665,-5.8739066,13.041434,-8,-8,-8,-8,-8,-8,-8,-8,-8,78,78,6.2385669,40.119156
qz102_s_2,家庭成员之外谁在场：选择2,23665,-7.9779844,1.2528793,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,77,66.168541,4473.9399
qz102_s_3,家庭成员之外谁在场：选择3,23665,-7.9991126,.097505517,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,4,111.978,12758.205
qz103,访问使用的主要语言,24815,1.6966754,2.2102718,-8,-8,1,1,1,1,1,5,5,5,5,-1.141049,9.3054428
qz202,健康状况,23665,-7.5364885,2.4508414,-8,-8,-8,-8,-8,-8,-8,-8,-8,6,7,5.1588182,27.915501
qz203,衣装整洁程度,23665,-7.5369954,2.446243,-8,-8,-8,-8,-8,-8,-8,-8,-8,6,7,5.1477404,27.772133
qz204,外貌,23665,-7.5390239,2.4349222,-8,-8,-8,-8,-8,-8,-8,-8,-8,6,7,5.1443543,27.729656
qz207,智力水平,23665,4.9769278,2.5015664,-8,-8,2,3,4,5,7,7,7,7,7,-3.275444,17.165985
qz5,急于结束调查的程度,23665,1.6409888,2.0132866,-8,-8,1,1,1,1,2,4,5,7,7,-1.8299181,13.704667
pg02,过去12个月是否有工作（代答）,3336,-3.5773382,4.0066681,-8,-8,-8,-8,-8,0,0,0,0,1,1,-.194181,1.046466
cfps2022edu,CFPS2022个人问卷受访者已完成的最高学历,27001,2.9312987,1.5313944,-9,1,1,1,2,3,4,5,6,6,8,.2443153,4.4823585
cfps2022sch,CFPS2022个人问卷受访者离校/上学阶段,27001,1.9703344,4.0499806,-9,-9,-9,-9,2,3,4,5,6,6,8,-1.9717391,5.9330339
cfps2022eduy,CFPS2022个人问卷受访者已完成的受教育年限,27001,5.8410802,8.1089964,-9,-9,-9,-9,0,9,12,15,16,16,23,-.75290591,2.4308352
cfps2022eduy_im,CFPS2022个人问卷受访者已完成的受教育年限,27001,6.8663011,7.120069,-9,-9,-9,-9,4,9,12,15,16,16,23,-.91679585,3.2041624
interviewerid22,访员编码,27001,573740.19,269207.63,101944,103829,134691,180171,347375,587384,818090,935269,965667,982188,999353,-.13988705,1.7811146
