variable,varlabel,N,mean,sd,min,p1,p5,p10,p25,p50,p75,p90,p95,p99,max,skewness,kurtosis
lastyjob_comm_a_5,一般工作5是否延续到最近一年,23665,-7.9970841,.1588071,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,54.611874,2992.1108
mincomea_a_6,一般工作6的税后月收入,23665,-7.7880416,23.509548,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3000,114.82066,13570.639
yincomea_a_6,一般工作6的税后年收入,23665,-7.5345025,55.606483,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,8000,132.88089,18534.518
jobclass_base_a_6,一般工作6的类型（base）,23665,-7.9985633,.12803964,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,4,89.674683,8089.2339
jobclass_a_6,一般工作6的工作类型,23665,-7.9985633,.12803964,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,4,89.674683,8089.2339
lastyjob_comm_a_6,一般工作6是否延续到最近一年,23665,-7.9989014,.097719826,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,89.181534,7975.6069
qgd01,全职工作经历,23665,-7.8218465,1.2021945,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,1,6.6208777,44.988636
qgd0,这是您人生的第一份工作吗,23665,-7.191802,2.5079017,-8,-8,-8,-8,-8,-8,-8,-8,1,1,1,2.7931406,8.8430443
kgd1a,第一份工作是否受雇,23665,-7.522079,2.0005145,-8,-8,-8,-8,-8,-8,-8,-8,0,1,1,3.9544268,16.66819
kgd2a_s_1,所有求职渠道：选择1,23665,-7.3504753,4.4782133,-8,-8,-8,-8,-8,-8,-8,-8,-8,4,77,14.66398,267.28793
kgd2a_s_2,所有求职渠道：选择2,23665,-7.9746885,1.038635,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,77,71.07605,5698.3911
kgd2a_s_3,所有求职渠道：选择3,23665,-7.9945068,.57180804,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,77,140.11972,20656.82
kgd2a_a_1,求职渠道：是否自己直接与用人单位联系,23665,-7.6270442,1.7172303,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,4.4019227,20.452011
kgd2a_a_2,求职渠道：是否职业介绍机构、招聘广告、自己登求职,23665,-7.6309738,1.6985245,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,1,4.3967867,20.390902
kgd2a_a_3,求职渠道：是否国家分配/组织调动,23665,-7.6363406,1.6726273,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,1,4.3860545,20.259602
kgd2a_a_4,求职渠道：是否亲属、朋友或熟人介绍,23665,-7.6195226,1.7524514,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,4.4062238,20.499918
kgd2a_a_5,求职渠道：是否学校就业指导机构，或学校推荐,23665,-7.6346927,1.6806242,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,1,4.3898392,20.306295
kgd2a_a_77,求职渠道：是否选择其他,23665,-7.6363406,1.6726273,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,1,4.3860545,20.259602
